256;51005;H für Musik Detmold (Kunst-H);5
257;51020;Folkwang U der Künste Essen (Kunst-H);5
258;51030;H für Musik und Tanz Köln (Kunst-H);5
259;51510;Musikhochschule Lübeck (Kunst-H);5
260;51405;Burg Giebichenstein Kunsthochschule Halle (Kunst-H);5
261;50505;H für Künste Bremen (Kunst-H);5
262;50710;H für Musik und Darstellende Kunst Frankfurt a.M. (Kunst-H);5
263;51305;H für Bildende Künste Dresden (Kunst-H);5
264;51325;H für Graphik und Buchkunst Leipzig (Kunst-H);5
265;50105;Staatl. H für Musik Freiburg i.Br. (Kunst-H);5
266;50125;Staatl. H für Musik und Darstellende Kunst Mannheim (Kunst-H);5
267;50120;Staatl. H für Musik Karlsruhe (Kunst-H);5
269;50135;Staatl. H für Musik und Darstellende Kunst Stuttgart (Kunst-H);5
270;50140;Staatl. H für Musik Trossingen (Kunst-H);5
271;50230;H für Musik Würzburg (Kunst-H);5
272;50215;H für Musik und Theater München (Kunst-H);5
273;50210;H für Fernsehen und Film München (Kunst-H);5
274;51330;H für Musik und Theater Leipzig (Kunst-H);5
276;51210;Hochschule für Musik Saarbrücken (Kunst-H);5
277;51205;H der Bildenden Künste Saarbrücken (Kunst-H);5
279;50305;U der Künste Berlin (Kunst-H);5
280;51315;H für Musik Dresden (Kunst-H);5
281;50605;H für Bildende Künste Hamburg (Kunst-H);5
283;50905;H für Bildende Künste Braunschweig (Kunst-H);5
285;51605;H für Musik Weimar (Kunst-H);5
286;51010;Kunstakademie Düsseldorf (Kunst-H);5
287;51015;Robert-Schumann-H Düsseldorf (Kunst-H);5
288;51025;KH für Medien Köln (Kunst-H);5
289;51035;Kunstakademie Münster (Kunst-H);5
290;50705;H für Bildende Künste - Städelschule Frankfurt a.M. (Kunst-H);5
292;50715;H für Gestaltung Offenbach (Kunst-H);5
293;51310;H für Kirchenmusik der Evang.-Luth. Landeskirche Sachsens, Dresden (Kirchl. Kunst-H);5
294;50115;Staatl. H für Gestaltung Karlsruhe (Kunst-H);5
295;50110;Staatl. Akademie der Bildenden Künste Karlsruhe (Kunst-H);5
296;50130;Staatl. Akademie der Bildenden Künste Stuttgart (Kunst-H);5
298;50205;Akademie der Bildenden Künste München (Kunst-H);5
299;50220;Akademie der Bildenden Künste Nürnberg (Kunst-H);5
300;51410;Evang. H für Kirchenmusik Halle (Kirchl. Kunst-H);5
301;50225;H für Musik Nürnberg (Kunst-H);5
302;50235;H für evang. Kirchenmusik Bayreuth (Kirchl. Kunst-H);5
303;50805;H für Musik und Theater Rostock (Kunst-H);5
304;50240;H für kath. Kirchenmusik und Musikpädagogik, Regensburg (Kirchl. Kunst-H);5
305;61038;H Ruhr-West (FH) ;6
306;61034;H Rhein-Waal (FH);6
307;61022;H Hamm-Lippstadt (FH);6
308;51045;Hochschule der bildenden Künste (HBK) Essen (Priv. Kunst-H);5
309;61070;HSD Hochschule Döpfer Potsdam in Köln (Priv. FH);6
310;11505;EUF Europa-Universität Flensburg;1
312;60177;Hochschule für Kommunikation und Gestaltung (Priv. FH);6
313;50330;Barenboim-Said Akademie Berlin (Priv. Kunst-H);5
314;60357;CODE University of Applied Sciences Berlin (Priv. FH);6
323;61150;H für Gesellschaftsgestaltung Koblenz (Priv. FH);6
324;61645;Duale Hochschule Gera-Eisenach (FH);6
325;60435;Hochschule Clara Hoffbauer Potsdam (Priv. FH);6
326;61540;DHSH - Duale Hochschule Schleswig-Holstein, Kiel (Priv. FH);6
327;10365;German International University Berlin (Priv. U);1
329;10430;HMU Health and Medical University Erfurt in Potsdam (Priv. U);1
336;60345;Digital Business University Berlin (Priv. FH);6
337;10227;Technische Universität Nürnberg;1
343;60608;Berufliche Hochschule Hamburg (FH);6
349;60440;XU Exponential University Potsdam (Priv. FH);6
350;10415;U Potsdam;1
364;60445;GISMA Business School Potsdam (Priv. FH);6
366;30105;PH Freiburg i.Br.;3
367;30110;PH Heidelberg;3
368;30115;PH Karlsruhe;3
370;30125;PH Schwäbisch Gmünd;3
371;30120;PH Ludwigsburg;3
372;60751;UoL-University of Labour Frankfurt (Priv. FH) ;6
378;30130;PH Weingarten;3
379;61044;Kolping H, Köln (Priv. FH);6
388;60748;Tomorrow University of Applied Sciences, Frankfurt a. M. (Priv.FH);6
389;60355;Humanistische Hochschule Berlin (Priv. FH);6
390;60162;IFAA Hochschule Ketsch (Priv. FH);6
393;61550;Promotionskolleg Schleswig-Holstein an der FH Kiel;6
394;60772;Promotionszentrum Mobilität und Logistik, Frankfurt am Main;6
395;61037;Promotionskolleg NRW, Bochum (FH);6
397;10407;Brandenburgische TU Cottbus-Senftenberg;1
398;60768;Promotionszentrum Soziale Arbeit, Wiesbaden;6
399;60770;Promotionszentrum Angewandte Informatik, Darmstadt;6
402;B0610;Berufsakademie Hamburg (Private BA);B
403;B0705;Akademie für Tonkunst Darmstadt;B
404;B0710;Berufsakademie Rhein-Main Rödermark (Private BA);B
405;B0715;Brüder-Grimm-Berufsakademie Hanau (Private BA);B
406;B0720;Dr. Hoch's Konservatorium - Musikakademie Frankfurt am Main;B
407;B0725;Europäische Studienakademie Kälte-Klima-Lüftung (ESaK) Maintal (Private BA);B
408;B0730;Hessische Berufsakademie Frankfurt (Private BA);B
409;B0760;Internationale Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba) (Private BA);B
410;B0770;Musikakademie der Stadt Kassel Louis Spohr;B
411;B0775;Private Berufsakademie Fulda;B
412;B0785;Wiesbadener Musikakademie (WMA);B
413;B0910;Berufsakademie Holztechnik Melle (Private BA);B
414;B0915;Berufsakademie für Bankwirtschaft Hannover-Rastede (Private BA);B
415;B0920;Berufsakademie für IT und Wirtschaft Oldenburg (Private BA);B
416;B0925;Berufsakademie Göttingen (Private BA);B
417;B0930;Berufsakademie Lüneburg (Private BA);B
419;B0940;Berufsakademie Welfenakademie Braunschweig (Private BA);B
