HochschuleErsteinschreibung;Sortierschlüssel;Name;Gültig ab;Gültig bis;
2420;;Medizinische Hochschule Brandenburg in Neuruppin (Priv. U);20171;99999;
2430;;Alanus H Alfter (Priv. Kunst-H);20171;99999;
2440;;praxisHochschule Köln in Köln (Priv. FH);20171;99999;
2441;;praxisHochschule Köln in Rheine (Priv. FH);20171;99999;
2450;;EU European University of Applied Sciences in Mannheim (Priv.FH);20202;99999;
2490;;Palucca Hochschule für Tanz Dresden (Kunst-H);20171;99999;
2500;;H für Musik und Theater Hamburg (Kunst-H);20171;99999;
2510;;Weißensee Kunsthochschule Berlin (Kunst-H);20212;99999;
2520;;H für Musik Berlin (Kunst-H);20171;99999;
2530;;Hochschule für Musik, Theater und Medien Hannover (Kunst-H);20171;99999;
2540;;H für Schauspielkunst Berlin (Kunst-H);20171;99999;
2550;;Filmuniversität Babelsberg;20171;99999;
2561;;H für Musik Detmold (Kunst-H);20171;99999;
2571;;Folkwang U der Künste Essen in Essen (Kunst-H);20211;99999;
2572;;Folkwang U der Künste Essen in Duisburg (Kunst-H);20211;99999;
2573;;Folkwang U der Künste Essen in Bochum (Kunst-H);20211;99999;
2574;;Folkwang U der Künste Essen in Dortmund (Kunst-H);20211;99999;
2581;;H für Musik und Tanz Köln in Köln (Kunst-H);20202;99999;
2582;;H für Musik und Tanz Köln in Aachen (Kunst-H);20202;99999;
2583;;H für Musik und Tanz Köln in Wuppertal (Kunst-H);20202;99999;
2590;;Musikhochschule Lübeck (Kunst-H);20171;99999;
2600;;Burg Giebichenstein Kunsthochschule Halle (Kunst-H);20171;99999;
2610;;H für Künste Bremen  (Kunst-H);20171;99999;
2620;;H für Musik und Darstellende Kunst Frankfurt a.M. (Kunst-H);20171;99999;
2630;;H für Bildende Künste Dresden (Kunst-H);20171;99999;
2640;;H für Graphik und Buchkunst Leipzig (Kunst-H);20171;99999;
2650;;Staatl. H für Musik Freiburg i.Br. (Kunst-H);20171;99999;
2660;;Staatl. H für Musik und Darstellende Kunst Mannheim (Kunst-H);20171;99999;
2670;;Staatl. H für Musik Karlsruhe (Kunst-H);20171;99999;
2690;;Staatl. H für Musik und Darstellende Kunst Stuttgart (Kunst-H);20171;99999;
2700;;Staatl. H für Musik Trossingen (Kunst-H);20171;99999;
2710;;H für Musik Würzburg (Kunst-H);20171;99999;
2720;;H für Musik und Theater München (Kunst-H);20171;99999;
2730;;H für Fernsehen und Film München (Kunst-H);20171;99999;
2740;;H für Musik und Theater Leipzig (Kunst-H);20171;99999;
2760;;Hochschule für Musik Saarbrücken (Kunst-H);20171;99999;
